Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,23,SF,76,76,35.9,9.3,20.6,0.453,3,8.6,0.353,6.3,12,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8,4.4,1,0.6,2.9,2.3,26.9,"MVP-6,AS,NBA1"
2,Jaylen Brown,25,SF,66,66,33.6,8.7,18.4,0.473,2.5,7,0.358,6.2,11.4,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6,
3,Marcus Smart,27,PG,71,71,32.3,4.2,10.1,0.418,1.7,5.1,0.331,2.5,5,0.506,0.501,2,2.5,0.793,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1,DPOY-1
4,Robert Williams,24,C,61,61,29.6,4.4,6,0.736,0,0,0,4.4,6,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2,0.9,2.2,1,2.2,10,DPOY-7
5,Dennis Schršder,28,PG,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8,0.485,0.497,2.5,3,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,
6,Al Horford,35,C,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,DPOY-9
7,Derrick White,27,SG,26,4,27.4,3.6,8.8,0.409,1.3,4.3,0.306,2.3,4.6,0.504,0.483,2.5,2.9,0.853,0.5,2.9,3.4,3.5,0.6,0.6,1.2,2.2,11,
8,Josh Richardson,28,SG,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,
9,Grant Williams,23,PF,77,21,24.4,2.7,5.6,0.475,1.4,3.4,0.411,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,3.6,1,0.5,0.7,0.8,2.4,7.8,
10,Daniel Theis,29,C,21,6,18.7,3.2,5.3,0.598,0.5,1.3,0.357,2.7,4,0.679,0.643,1,1.5,0.688,1.3,3.4,4.7,1,0.4,0.7,0.7,2.3,7.9,
11,Romeo Langford,22,SG,44,5,16.5,1.8,4.2,0.429,0.7,1.9,0.349,1.1,2.3,0.495,0.508,0.5,0.8,0.588,0.7,1.7,2.4,0.4,0.5,0.4,0.4,1,4.7,
12,Payton Pritchard,24,PG,71,2,14.1,2.3,5.3,0.429,1.4,3.5,0.412,0.8,1.8,0.461,0.564,0.3,0.3,1,0.5,1.4,1.9,2,0.4,0.1,0.6,0.9,6.2,
13,Enes Freedom,29,C,35,1,11.7,1.5,2.8,0.526,0.1,0.1,0.4,1.4,2.6,0.533,0.536,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,
14,Aaron Nesmith,22,SF,52,3,11,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,
15,Jabari Parker,26,PF,12,0,9.3,1.5,3.2,0.474,0.7,1.3,0.5,0.8,1.8,0.455,0.579,0.8,0.8,1,0.4,1.9,2.3,0.5,0.3,0.1,0.7,1.1,4.4,
16,Luke Kornet,26,C,12,0,7.1,1,1.8,0.571,0,0.3,0,1,1.4,0.706,0.571,0.2,0.3,0.667,0.8,1.3,2.1,0.7,0.3,0.2,0,0.6,2.2,
17,Sam Hauser,24,SF,26,0,6.1,0.9,1.9,0.46,0.7,1.7,0.432,0.2,0.2,0.667,0.65,0,0,,0.2,0.9,1.1,0.4,0,0.1,0.1,0.3,2.5,
18,Juancho Hernang—mez,26,PF,18,0,5.3,0.3,1.5,0.185,0.2,1,0.167,0.1,0.5,0.222,0.241,0.3,0.5,0.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1,
19,Matt Ryan,24,SF,1,0,5,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,0,0,0,1,0,0,0,3,
20,Brodric Thomas,25,SG,12,0,5,0.7,1.5,0.444,0.2,0.8,0.222,0.5,0.8,0.667,0.5,0.3,0.4,0.6,0.2,0.7,0.8,0.9,0.1,0.1,0.5,0.6,1.8,
21,Juwan Morgan,24,PF,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
22,Malik Fitts,24,PF,8,0,3.5,0.8,1.3,0.6,0.4,0.8,0.5,0.4,0.5,0.75,0.75,0,0,,0.3,0.6,0.9,0.6,0,0,0,0.1,1.9,
23,Bruno Fernando,23,C,20,0,2.9,0.4,0.7,0.5,0.1,0.1,1,0.3,0.7,0.462,0.536,0.2,0.3,0.8,0.4,0.4,0.8,0.2,0,0.2,0.3,0.3,1,
24,Nik Stauskas,28,SG,6,0,2.5,0.3,1,0.333,0.3,1,0.333,0,0,,0.5,0.2,0.3,0.5,0,0,0,0.2,0,0,0.2,0,1.2,
25,C.J. Miles,34,SG,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,
26,Kelan Martin,26,SF,3,0,2,0,1,0,0,0.3,0,0,0.7,0,0,0,0,,0.3,0.3,0.7,0,0,0,0,0,0,
27,Joe Johnson,40,SG,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,
28,Justin Jackson,26,SF,1,0,2,0,1,0,0,0,,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2,
,Team Totals,,,82,82,242.7,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,0.542,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,
